	Fluct DMSO_T0_0959	Fluct DMSO_T0_0960	Fluct DMSO_T0_0958	Fluct DMSO_T2_0962	Fluct DMSO_T2_0961	Fluct DMSO_T2_0963	Fluct DMSO_T8_0964	Fluct DMSO_T8_0966	Fluct DMSO_T8_0965	Fluct DMSO_T24_0968	Fluct DMSO_T24_0967	Fluct DMSO_T24_0969	Fluct DMSO_T72_0970	Fluct DMSO_T72_0972	Fluct DMSO_T72_0971	Fluct DMSO_T168_0973	Fluct DMSO_T168_0975	Fluct DMSO_T168_0974	Fluct DMSO_T240_0976	Fluct DMSO_T240_0977	Fluct DMSO_T240_0978	Fluct DMSO_T336_0979	Fluct DMSO_T336_0981	Fluct DMSO_T336_0980	DOX_Therapeutic_T2_274	DOX_Therapeutic_T2_275	DOX_Therapeutic_T2_276	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T24_282	DOX_Therapeutic_T24_280	DOX_Therapeutic_T24_281	DOX_Therapeutic_T72_284	DOX_Therapeutic_T72_283	DOX_Therapeutic_T72_285	DOX_Therapeutic_T168_286	DOX_Therapeutic_T168_288	DOX_Therapeutic_T168_287	DOX_Therapeutic_T240_290	DOX_Therapeutic_T240_291	DOX_Therapeutic_T240_289	DOX_Therapeutic_T336_292	DOX_Therapeutic_T336_294	DOX_Therapeutic_T336_293	DOX_Toxic_T2_295	DOX_Toxic_T2_296	DOX_Toxic_T2_297	DOX_Toxic_T8_299	DOX_Toxic_T8_298	DOX_Toxic_T8_300	DOX_Toxic_T24_302	DOX_Toxic_T24_301	DOX_Toxic_T24_303	DOX_Toxic_T72_306	DOX_Toxic_T72_305	DOX_Toxic_T72_304	DOX_Toxic_T168_307	DOX_Toxic_T168_308	DOX_Toxic_T168_309	DOX_Toxic_T240_311	DOX_Toxic_T240_312	DOX_Toxic_T240_310	DOX_Toxic_T336_313	DOX_Toxic_T336_315	DOX_Toxic_T336_314	EPI_Therapeutic_T2_317	EPI_Therapeutic_T2_316	EPI_Therapeutic_T2_318	EPI_Therapeutic_T8_321	EPI_Therapeutic_T8_320	EPI_Therapeutic_T8_319	EPI_Therapeutic_T24_323	EPI_Therapeutic_T24_324	EPI_Therapeutic_T24_322	EPI_Therapeutic_T72_325	EPI_Therapeutic_T72_326	EPI_Therapeutic_T72_327	EPI_Therapeutic_T168_329	EPI_Therapeutic_T168_328	EPI_Therapeutic_T168_330	EPI_Therapeutic_T240_332	EPI_Therapeutic_T240_333	EPI_Therapeutic_T240_331	EPI_Therapeutic_T336_334	EPI_Therapeutic_T336_336	EPI_Therapeutic_T336_335	EPI_Toxic_T2_338	EPI_Toxic_T2_339	EPI_Toxic_T2_337	EPI_Toxic_T8_340	EPI_Toxic_T8_341	EPI_Toxic_T8_342	EPI_Toxic_T24_344	EPI_Toxic_T24_345	EPI_Toxic_T24_343	EPI_Toxic_T72_347	EPI_Toxic_T72_348	EPI_Toxic_T72_346	EPI_Toxic_T168_349	EPI_Toxic_T168_351	EPI_Toxic_T168_350	EPI_Toxic_T240_354	EPI_Toxic_T240_353	EPI_Toxic_T240_352	EPI_Toxic_T336_355	EPI_Toxic_T336_357	EPI_Toxic_T336_356	IDA_Therapeutic_T2_211	IDA_Therapeutic_T2_213	IDA_Therapeutic_T2_212	IDA_Therapeutic_T8_214	IDA_Therapeutic_T8_215	IDA_Therapeutic_T8_216	IDA_Therapeutic_T24_217	IDA_Therapeutic_T24_218	IDA_Therapeutic_T24_219	IDA_Therapeutic_T72_222	IDA_Therapeutic_T72_221	IDA_Therapeutic_T72_220	IDA_Therapeutic_T168_223	IDA_Therapeutic_T168_224	IDA_Therapeutic_T168_225	IDA_Therapeutic_T240_228	IDA_Therapeutic_T240_227	IDA_Therapeutic_T240_226	IDA_Therapeutic_T336_230	IDA_Therapeutic_T336_229	IDA_Therapeutic_T336_231	IDA_Toxic_T2_232	IDA_Toxic_T2_233	IDA_Toxic_T8_237	IDA_Toxic_T8_236	IDA_Toxic_T8_235	IDA_Toxic_T24_238	IDA_Toxic_T24_240	IDA_Toxic_T72_242	IDA_Toxic_T72_243	IDA_Toxic_T72_241	IDA_Toxic_T168_245	IDA_Toxic_T168_246	IDA_Toxic_T168_244	DAU_Therapeutic_T0_618	DAU_Therapeutic_T0_617	DAU_Therapeutic_T0_616	DAU_Therapeutic_T240_634	DAU_Therapeutic_T240_636	DAU_Therapeutic_T240_635	DAU_Therapeutic_T168_633	DAU_Therapeutic_T168_631	DAU_Therapeutic_T168_632	DAU_Therapeutic_T72_630	DAU_Therapeutic_T72_629	DAU_Therapeutic_T72_628	DAU_Therapeutic_T24_625	DAU_Therapeutic_T24_627	DAU_Therapeutic_T24_626	DAU_Therapeutic_T8_623	DAU_Therapeutic_T8_624	DAU_Therapeutic_T8_622	DAU_Therapeutic_T2_619	DAU_Therapeutic_T2_621	DAU_Therapeutic_T2_620	DAU_Therapeutic_T336_639	DAU_Therapeutic_T336_638	DAU_Therapeutic_T336_637	DAU_Toxic_T240_657	DAU_Toxic_T240_655	DAU_Toxic_T240_656	DAU_Toxic_T168_652	DAU_Toxic_T168_654	DAU_Toxic_T168_653	DAU_Toxic_T72_649	DAU_Toxic_T72_651	DAU_Toxic_T72_650	DAU_Toxic_T24_646	DAU_Toxic_T24_647	DAU_Toxic_T24_648	DAU_Toxic_T8_643	DAU_Toxic_T8_645	DAU_Toxic_T8_644	DAU_Toxic_T2_642	DAU_Toxic_T2_641	DAU_Toxic_T2_640
sp|P07996|TSP1_HUMAN	13.562494	13.912747	13.39843	13.269697	12.910002	13.190376	12.471025	13.982913	12.964248	12.636038	12.813215	13.084391	13.178373	13.342178	12.750958	13.172889	13.334148	13.337106	13.862269	14.115628	13.50009	13.020902	14.48131	13.768572	11.362288	11.158667	11.490731	11.580934	11.631019	11.660516	11.580934	11.631019	11.660516	11.760483	11.499979	10.847377	11.418932	11.632643	11.039047	11.010725	11.622928	11.146354	11.713515	11.47988	11.898065	11.746121	11.749275	11.309563	11.669477	11.693681	11.86825	12.089437	11.975679	12.238037	11.704673	11.725744	11.897126	12.5638485	12.186597	11.847943	12.847506	13.001596	13.26497	13.548832	13.378807	13.44829	14.094371	14.202414	14.146023	11.454488	11.394241	12.25318	11.82234	12.089681	12.036078	10.66685	10.948285	10.552879	11.221607	11.225664	11.119986	11.27713	11.356605	11.065045	11.321253	11.503378	11.423287	11.015825	10.831254	10.937734	11.911724	12.130851	12.005317	12.231508	12.294602	12.245173	12.61851	12.538896	12.694854	11.879971	12.702616	12.670759	13.681035	13.341413	13.520627	14.782193	14.491991	14.516094	14.299158	14.190534	14.252732	11.145988	11.2096615	10.680956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.433886	10.022079	10.002863	NaN	NaN	NaN	NaN	NaN	13.962571	13.918605	14.059171	11.015116	10.472419	10.784859	10.241821	10.56113	11.761671	NaN	NaN	NaN	9.886742	9.575302	7.1047335	12.770894	12.495162	13.054219	11.352041	10.960629	11.055573	12.02239	11.0641775	11.099218	12.851543	12.869042	12.723408	14.48914	14.118302	14.735689	14.648015	13.726216	14.061319	11.125524	11.4856615	10.831795	10.754369	10.9032545	9.770083	12.349805	12.670342	12.811853	12.768074	12.385535	12.664606
sp|P08123|CO1A2_HUMAN	13.047023	13.655827	12.920934	13.23913	13.14032	13.0201845	12.514229	13.908503	13.161117	13.310731	12.515588	13.212554	12.675662	13.20459	12.226848	11.17712	10.930792	11.181868	11.659503	11.308075	11.428958	10.762178	12.529089	11.103087	10.160418	9.505159	10.377191	11.486412	11.350392	11.226067	NaN	NaN	NaN	10.044559	9.869251	9.741533	9.74272	9.829568	10.36069	NaN	NaN	NaN	10.891508	10.759655	10.780044	NaN	NaN	NaN	11.487055	11.04383	11.21958	10.645165	10.77827	10.74193	9.418068	9.64454	9.476459	NaN	NaN	NaN	NaN	NaN	NaN	10.552363	10.820736	10.636435	10.649808	11.099395	10.986134	NaN	NaN	NaN	10.978789	11.053133	11.256965	10.576124	10.311724	10.452108	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.782212	11.516589	11.696722	10.834743	11.060093	10.702774	9.52422	9.7928915	9.684822	NaN	NaN	NaN	10.070487	7.9305696	8.2198715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.837709	13.857655	13.456519	10.520027	9.980289	13.640177	11.716529	11.413786	12.833094	10.621103	10.798104	10.0246105	11.309058	10.743963	11.030923	11.001344	11.362926	11.292566	13.311686	13.218693	13.025265	9.241205	9.426559	9.085023	NaN	NaN	NaN	13.98074	14.9170475	12.854718	12.283227	12.457995	12.361998	12.827762	12.831642	12.495014	13.374034	13.532031	13.363382	11.213224	10.931534	10.482622
sp|P08133|ANXA6_HUMAN	15.201501	15.301407	14.866367	14.997902	15.270359	14.989629	15.199976	14.8353195	14.997317	14.968379	14.989939	14.915976	14.772341	14.529731	14.99547	15.025275	14.991784	14.659321	14.705467	14.403782	14.688888	15.195723	14.046986	14.777645	15.300746	15.3567	15.29538	14.718011	14.94745	14.74304	14.718011	14.94745	14.74304	14.776862	14.774523	14.890347	14.638877	14.848581	14.881851	14.658082	14.76462	14.78911	14.676044	14.641689	14.693183	14.563554	14.743756	14.764505	15.015014	15.045709	15.035842	14.857969	14.875589	15.184607	15.151765	15.256845	15.024214	14.665752	14.541465	14.567864	14.510402	14.574727	14.369521	14.76967	14.464011	14.6794	14.878573	14.941757	14.947489	15.250109	15.476972	15.757005	15.348574	15.35327	14.916132	15.245533	15.41885	15.397785	15.366417	15.25508	15.201897	15.001881	15.109206	15.197992	15.015777	15.239855	14.817018	14.885201	15.098635	15.443745	14.929657	14.9382515	15.013254	15.525752	15.225737	15.115805	15.440998	15.223823	15.341723	15.345283	15.46672	15.654628	15.148792	15.495578	15.603071	14.640624	14.9210615	15.467741	15.16449	15.255859	15.434304	15.089133	15.190646	15.036542	15.042648	14.996755	15.048575	15.099547	15.056479	15.137753	15.509231	15.331189	15.412937	15.190976	15.386774	15.4694195	14.65928	14.7540245	14.888457	15.168124	14.685455	15.401946	15.194978	15.108202	15.722202	15.665038	15.676403	15.655441	15.431241	15.208482	14.980637	14.809772	15.212909	14.766796	14.830339	15.297921	15.185922	15.27486	15.418819	15.204589	15.707036	16.225533	16.089039	15.88833	14.664418	14.76905	15.012523	15.48352	15.586581	15.902791	14.242511	14.33676	14.431186	15.727076	15.834155	15.824695	15.584129	15.597416	15.626745	14.910402	15.087807	14.927062	15.376571	15.491711	15.083754	14.656842	14.25343	14.55404	14.508997	14.627137	14.325394	15.56251	16.062372	16.018812	15.174751	15.340234	15.463404
sp|P08134|RHOC_HUMAN	NaN	NaN	NaN	9.138728	9.437494	9.572277	NaN	NaN	NaN	NaN	NaN	NaN	7.9663935	8.661049	8.849546	NaN	NaN	NaN	9.786642	9.270702	9.007735	9.447793	7.2372117	7.5741696	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.528162	9.122647	10.032559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.934949	12.999226	12.64133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.833327	10.998883	11.095829	12.382176	12.349295	12.231294	NaN	NaN	NaN	13.171408	13.088216	13.205515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08134|RHOC_HUMAN : sp|P61586|RHOA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.975138	13.018896	13.130009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.950357	13.021541	12.981415	12.925344	12.960351	12.726084	NaN	NaN	NaN	12.876511	13.009418	12.920513	12.865174	12.991344	12.869288	NaN	NaN	NaN	13.023236	12.875494	12.718232	12.677136	12.301214	12.35468	11.1182995	11.006984	11.297567	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.02613	12.803397	12.923549	NaN	NaN	NaN	13.1936655	13.353172	13.138515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.088228	12.163631	11.966639	NaN	NaN	NaN	11.888761	11.897966	12.123013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.469032	12.755396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.587201	11.791089	11.749283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08195|4F2_HUMAN	NaN	NaN	NaN	9.665253	10.15809	10.670672	9.939303	10.361613	10.089233	9.624685	9.898144	9.666415	9.107256	9.843798	9.741901	8.3171215	8.7250395	8.348227	10.132933	9.407066	9.565804	8.464698	9.711855	9.585003	NaN	NaN	NaN	9.9371605	10.366502	10.542976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.048806	10.089439	9.764701	10.321438	10.24343	10.377187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.84809	9.8416	9.937842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.54977	10.483545	10.331572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08237|PFKAM_HUMAN	10.744498	6.9045296	11.53383	10.383172	10.284123	10.090131	10.023735	9.892638	10.73499	9.36815	9.728889	9.496113	9.297821	10.131837	10.003738	11.122551	11.120742	11.1069	9.885605	9.525059	9.7839985	11.310368	11.246281	10.8059	13.295432	13.148082	12.940853	13.572316	13.506969	13.461852	NaN	NaN	NaN	13.364923	13.390231	13.202869	12.9913845	13.06385	13.389344	13.609949	13.773086	13.633345	12.885072	12.935532	13.010678	13.652624	13.644962	13.560805	12.812061	12.885151	12.80404	12.732572	12.705608	12.837162	12.855151	12.782878	12.728851	12.843833	12.779289	12.671534	12.756413	12.752195	12.653822	12.731438	12.563456	12.71804	12.209765	12.375835	12.335681	13.515551	13.504617	13.563776	12.982204	12.668864	12.87906	13.264464	13.0337	13.37874	13.295136	13.119684	13.160521	12.458504	12.875718	12.908012	12.608748	12.685024	12.525135	13.0948715	12.7282	12.818226	13.170809	13.179981	13.403412	12.323734	12.4833765	12.482231	12.946404	12.624818	12.73446	12.6964855	12.734886	12.615542	11.743362	11.8521385	11.841241	12.196079	11.977751	12.078463	11.7599325	12.385239	12.367253	12.063957	12.142033	11.854861	11.452765	12.326807	12.289388	12.461328	12.37125	12.135654	13.118428	13.028474	12.981782	12.859396	12.931154	12.799113	13.0212145	13.229907	12.674193	12.1692705	12.435221	11.529532	12.6754055	13.177795	12.521022	12.393565	12.361842	12.735947	12.604737	12.082903	12.163576	11.604563	NaN	NaN	NaN	12.611567	12.549868	12.777991	12.866666	12.922067	13.000282	12.976312	12.742356	12.765851	12.733234	12.439417	12.3828	11.734671	11.800996	12.09134	11.588866	11.254146	11.660691	11.95018	11.27155	11.225546	12.334753	12.433979	12.507515	NaN	NaN	NaN	10.332432	9.949251	9.753276	10.542119	10.749639	10.64588	9.929886	9.943358	9.455375	11.319641	12.412975	12.59703	11.803475	11.909243	11.646412
sp|P08238|HS90B_HUMAN	15.908726	15.8907995	15.740006	15.89696	15.690562	15.868012	15.777619	15.774664	16.039444	15.78009	16.021667	15.422671	16.019207	16.160484	15.67985	16.00431	15.738408	16.27735	14.975679	15.20159	15.13868	15.82118	16.126263	16.237743	14.540758	14.553008	14.516235	14.795647	14.325606	14.51691	14.795647	14.325606	14.51691	14.441066	14.501669	14.5391	14.553909	14.545176	14.701937	14.639208	14.748918	14.6614485	14.810037	14.728637	14.977803	14.768773	14.914633	14.945705	14.921442	14.949521	15.157878	14.692459	14.9332285	15.129407	14.856743	14.900797	14.880702	14.9484825	14.922757	14.883674	15.071169	15.130922	15.06406	14.740682	14.994624	14.962576	14.938565	15.2020855	15.092338	14.571424	15.033587	14.839244	14.480665	14.879934	14.424502	14.769403	14.708986	14.633592	14.688574	14.560557	14.778478	14.769063	14.657898	14.715256	14.9388895	14.7417555	14.67046	15.135967	14.837281	14.865915	14.934072	14.6195545	14.5537615	14.691274	14.70755	14.694149	14.924934	14.57633	14.520314	14.99706	14.239724	14.438534	14.984568	14.715894	14.742848	14.345414	14.324881	14.311487	14.510714	14.447423	14.556235	15.439584	15.380146	15.314813	15.569233	14.960294	15.327793	15.125648	15.334861	15.356375	15.486244	15.229635	15.294011	15.221429	15.152661	15.244942	14.92278	15.021757	15.053309	15.030087	14.906508	15.488622	15.029551	15.147936	15.781299	15.692293	15.824032	15.264638	15.31208	15.431821	15.167378	15.051174	15.759866	15.744301	15.850602	14.590479	14.449004	14.676804	14.316041	14.480739	14.680676	15.188013	14.784652	14.361169	14.77192	14.533941	14.837449	14.684076	14.626835	14.905877	13.8769655	13.87441	14.167372	14.603626	14.713607	14.295767	13.962925	14.126397	14.24058	15.104186	15.224206	13.440503	14.23349	14.081171	14.3344145	14.48661	14.649239	14.355988	14.876316	14.73654	14.713975	14.003202	13.787127	13.702437	14.488315	14.255507	14.650357
sp|P08240|SRPRA_HUMAN	NaN	NaN	NaN	5.964338	7.0645556	6.9346814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.7701354	7.276591	5.5848804	6.6250367	7.714618	6.384603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08243|ASNS_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.411511	7.500065	8.249699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08294|SODE_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.103814	10.869011	10.856569	NaN	NaN	NaN	11.371434	10.232937	11.118838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.64091	10.575584	10.408581	NaN	NaN	NaN	10.735801	10.293736	10.394015	10.796173	10.7251625	10.909078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.10484	11.709042	12.166594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.202543	11.942063	12.042128	12.709869	12.629718	12.630871	11.233375	11.223627	11.197209	10.244625	10.666075	10.181618	NaN	NaN	NaN	NaN	NaN	NaN	11.39879	11.733975	11.650011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P08493|MGP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.776556	10.049451	10.639455	NaN	NaN	NaN	NaN	NaN	NaN	13.067325	13.254859	13.26657	13.561028	13.430436	13.56494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.185654	11.013006	11.314547	12.43789	12.48833	12.381836	13.293048	13.224597	13.160075	13.740652	13.833071	13.720105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.0044	13.91752	13.378799	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.89229	15.653673	15.133126	15.090256	14.910342	15.156803	14.128486	14.660865	14.4301405	13.811322	13.722572	14.160821	13.935753	13.98152	13.869685	13.487846	13.91587	14.206173	15.910776	15.248068	15.148579	15.930797	16.590252	16.00372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.139342	13.697369	13.65766	13.99014	13.607425	13.581242
